연번,관광지명,주소,위도,경도,문화재구분,문화재번호,전화번호,관광테마,주차장 여부,주차 대수,기타_홈페이지 주소,상세내용
16,남해양떼목장 양마르뜨 언덕,경상남도 남해군 삼동면 금암로 179-45,34.7904325,128.0241394,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",Y,,https://www.nh-yang.com/,"삼동면 봉화리 131, 일대에 2018년 5월 개장한 이곳은 삼동면 일대의 인기 관광지가 다 집약된 곳 중 노른자 위치에 자리한 양떼목장이기에 접근성이 빼어나다. 가을 단풍이 좋기로 유명한 삼동면 내산에 자리한 이 목장의 주변은 편백자연휴양림, 나비생태공원, 바람흔적미술관과 이웃하며 독일마을, 해오름예술촌과도 연계해 가기 좋다. 매일 오전 11시에서 3시 사이 매시 정각에 하는 ‘양몰이 공연’이 유명한 이곳 양마르뜨 목장은 방송 출연으로도 화제가 되었던 ‘양몰이 개’ 모스가 유명하다. 양을 모는 검은 개 ‘모스’가 선두에서 수 십마리의 양을 모는 모습은 그야말로 드라마틱한 장면의 연속이다. 간혹 무리에서 이탈한 한 두 마리의 어린 양을 발견하기도 하는 재미는 덤으로 따라온다. 양몰이 공연이 마치면 원반던지기 체험도 종종 이어진다."
17,지족구거리,경상남도 남해군 삼동면 동부대로1876번길 1,34.8317412,128.0001099,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로",N,,,
18,설리 스카이워크,경상남도 남해군 미조면 송정리 1029-13번지 일원,34.7085043,128.0229475,관광지,,070-423-1117,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",Y,,,"일명 '하늘 그네'라 불리는 스카이워크 그네는 높이 38m로 세계인이 사랑하는 휴양지인 인도네시아 발리의 명물, '발리섬의 그네'를 모티브로 제작되어 하늘과 맞닿고 발아래로는 바다로 풍덩 빠져 들것만 같은 극강의 아찔함을 준다. 야간에는 스카이워크 전체에서 경관조명을 감상할 수 있다."
19,돌창고,경상남도 남해군 삼동면 봉화로 538-1 남해 돌창고,34.8095001,127.9816927,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로",Y,,https://dolchanggo.com/,
20,장항거리,경상남도 남해군 서면 남서대로1517번길 31,34.8004847,127.8364069,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로",N,,,
21,설리어촌체험휴양마을,경상남도 남해군 미조면 미송로303번길 75-12,34.7044377,128.0269308,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 단체",Y,,http://www.xn--oy2b2b862as3eg7bu8mura767c.kr/,"남해의 최남단에 위치한 조그마한 어촌마을로 마을 앞에는 약500m 길이의 백사장과 삼면이 바다로 둘러쌓여 있고 떼섬, 사도 등 크고 작은 섬들이 즐비하여 경치 좋고 아름다운 어촌 마을이다. 여름 피서철에는 아름다운 백사장에서 해수욕 및 해양 레포츠 등 다양한 체험프로그램을 즐길수 있는 한국의 나폴리라 불리우는 곳이다."
22,보물섬 드론 체험장,경상남도 남해군 상주면 상주로 60번길 69,34.7243804,127.9805869,관광지,,055-860-8671,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男",Y,,,상주한려해상체육공원 내 드론체험장에서 상주은모래비치의 아름다운 풍경을 4차 산업의 선두주자 드론의 눈으로 담고 체험할 수 있다.
23,노량대교와 노량대교홍보관,경상남도 하동군 금남면 섬진강대로 61,34.9487339,127.8663964,관광지,,055-883-5500,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 단체",Y,,,
24,지족어촌관광단지,경상남도 남해군 삼동면 죽방로 65,34.8312904,127.9957367,관광지,,055-867-2662,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",Y,,,
25,물미해안전망대,경상남도 남해군 삼동면 동부대로 720,34.769833,128.0533244,관광지,,0507-1377-0047,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男",Y,74,,"하늘 위를 걷는듯한 아찔한 액티비티 스카이워크! 360도 조망이 가능한 원통형으로 조성되어 자유로운 여행객들에게 구불구불한 물미해안도로속에 한 점 쉬어가는 공간을 제공하고 있다. 1층에는 다양한 품목을 살 수 있는 남해군 특산품 판매장, 2층에는 베이커리 카페와 옥상 전망대로 꾸며져 있다."
26,옻채art,경상남도 남해군 서면 남서대로 1903 (작장리 271번지),34.8239415,127.8235046,관광지,,,"봄, 여름, 가을, 겨울, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로",Y,,,
27,설리해수욕장,경상남도 남해군 미조면 미송로303번길 48-1,34.707512,128.0261567,관광지,,055-860-3371,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로",Y,,,"설리라는 이름은 백사장이 하얀 눈같다하여 붙여진 이름이다. 이탈리아 나폴리, 크라오티아의 로비니로 불리며 어촌체험과 각종 해양스포츠를 즐길 수 있다"
28,이터널 저니 남해,경상남도 남해군 남면 남서대로1179번길 40-109 아난티 남해 스위트 타워 7동,34.7772024,127.8530819,관광지,,055-860-0688,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 효도, 나홀로",Y,,https://ananti.kr/ko,
29,토피아랜드 테마정원,경상남도 남해군 창선면 서부로 270-106,34.8455957,127.9818706,관광지,,055-867-1182,"봄, 여름, 가을, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 단체",Y,25,,건국 최초의 토피어리 공원이자 경남 민간정원 제3호로 나무 존재 자체로 힐링이 됨과 동시에 500여 그루의 편백나무 둘레길에서 휴식을 즐길 수 있다.
30,남해 상상양떼목장 편백숲,경상남도 남해군 설천면 설천로775번길 364,34.9361826,127.8906311,관광지,,055-862-5300,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도",Y,,http://yangttefarm.com/,"굽이굽이 구불구불 비탈진 인생도 생애 어느 날만큼은 탁 트인 초원에서 모든 상념을 내려놓고 쉬어 가야 하지 않을까. 탁 트인 드넓은 들판. 푸른 초록의 숲과 들, 눈 앞에 펼쳐진 시원한 바다. 곳곳에 우리를 둘러싼 귀여운 양들의 산책까지. 이 모든 걸 만날 수 있는 남해상상양떼목장이 설천면 구두산 일대에 펼쳐져 있다."
31,블랙이글 패러글라이딩,경상남도 남해군 서면 남서대로2197번길 64-20,34.8490398,127.8120456,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로",Y,,http://www.xn--bj0bv9k80b0ml55dyuq.com/,
32,서상 게스트하우스,경상남도 남해군 서면 남서대로1687번길 28-12,34.8089378,127.834237,관광지,,0507-1353-7878,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,,https://blog.naver.com/jun100799,
33,섬이정원,경상남도 남해군 남면 남면로 1534-110,34.7522488,127.8606298,관광지,,,"봄, 가을, 자가용/렌트, 친구, 키즈, 연인, 우정男, 나홀로",Y,,seomigarden.com/page/index.html,경남 민간정원 제1호로 등록된 섬이정원은 개인이 다랭이논을 일일이 가꿔가며 조성한 것이 시초. 계절별로 아름다운 꽃들을 구경할 수 있다.
34,남해 서핑스쿨,경상남도 남해군 미조면 송정리 1170,34.723875,128.0226787,관광지,,,"봄, 여름, 가을, 자가용/렌트, 친구, 연인, 우정女, 나홀로, 단체",Y,,https://namhaesurf.modoo.at/,
35,남해 보물섬 시네마,경상남도 남해군 남해읍 선소로 12,34.8451138,127.8995432,관광지,,055-862-7718,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 친구, 연인, 우정女, 우정男, 나홀로",Y,,https://namhae.scinema.kr/cinema/main.docgid=FE8EF4D2-F22D-4802-A39A-D58F23A29C1E&BrandCd=scinema&CinemaCd=000025,
36,노량-왕지 벚꽃길,경상남도 남해군 설천면 1024지방도 도로변,34.9047051,127.9037274,관광지,,055-860-8601,"봄, 자가용/렌트, 친구, 연인, 우정女, 우정男, 효도",Y,,,
37,망운산 철쭉군락지,경상남도 남해군 서면 노구리 산98,34.8569462,127.8514638,관광지,,055-860-3676,"봄, 자가용/렌트, 버스, 우정男, 나홀로, 단체",Y,10,,"786m, 남해 최고 높이를 자랑하는 망운산. 5월에는 철쭉군락지의 꽃들이 만개해 가족단위나 친목회 등의 모임에서 많이 찾아오며, 정상까지는 1시간 30분정도 소요된다. 남해읍에서 관광안내판을 따라 남해대교 방향으로 3분 정도 가면 고현면 이어마을이 나타난다."
38,가천 다랑논 유채,경상남도 남해군 남면 남면로679번길 21,34.7275092,127.8940077,관광지,,055-860-8601,"봄, 자가용/렌트, 친구, 연인, 우정女, 우정男, 효도, 나홀로",Y,45,,
39,남해실내체육관,경상남도 남해군 남해읍 화전로43번길 16,34.8336957,127.8932705,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 단체",Y,,,
40,아열대온실,경상남도 남해군 이동면 남해대로 2449,34.8172661,127.9231553,관광지,,,,Y,,,
41,남해드림카약투어,경상남도 남해군 미조면 미송로303번길 48-1,34.707512,128.0261567,관광지,,055-862-7827,"봄, 여름, 가을, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로, 단체",Y,,http://www.xn--q20bt3f84e5vo4hal77bpkg49g.com/,
42,이어어촌체험마을,경상남도 남해군 고현면 남해대로3100번길 65,34.8630457,127.9011291,관광지,,055-863-3697,"봄, 여름, 자가용/렌트, 키즈, 단체",Y,,http://www.xn--hz2b11ta51n0g410aura767c.kr/,
43,내산단풍길,경상남도 남해군 삼동면 군도 11호선 주변,34.830993,128.0010063,관광지,,055-860-3654,"가을, 자가용/렌트, 친구, 연인, 우정女, 우정男, 효도, 단체",Y,,,
44,두모 유채꽃 메밀꽃 단지,경상남도 남해군 상주면 양아리,34.730787,127.9661714,관광지,,055-860-8601,"봄, 버스, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",Y,35,,
45,상덕권역,경상남도 남해군 남면 남서대로 1144,34.7828284,127.8613416,관광지,,055-863-7724,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로, 단체",Y,50,http://www.sea-garden.kr/,"바다에서는 갯벌 체험을, 산에서는 산나물 따기와 등산 학교 체험을, 들에서는 영농체험과 블루베리체험을, 그리고 넓은 운동장에서는 캠핑놀이와 전통놀이를 할 수 있는 즐길 거리가 가득한 곳입니다. 깨끗하게 정비된 숙박시설은 100여명의 체험객들이 동시에 이용할 수 있는 편리한 시설을 두루 갖추고 있으며, 작은 마을 박물관을 개관하여 농촌의 풍경과 옛 조상들의 지혜를 찾아볼 수 있는 교육의 장으로 이용이 가능합니다."
46,진동권역,경상남도 남해군 창선면 흥선로 1462,34.8468806,128.0594867,관광지,,055-867-5999,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로, 단체",Y,9,,"갯벌과 고사리밭에서 시기 및 계절별 체험이 가능하며, 남해 생태체험로인 바래길의 6코스(말발굽길)과 7코스(고사리밭길)이 있어 트레킹 코스로도 많은 이가 찾고 있습니다."
47,꽃내권역,경상남도 남해군 삼동면 동천리 1745, 34.8214704,128.0366406,관광지,,055-862-1333,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 우정女, 우정男, 단체",Y,24,http://www.gaengbeon.co.kr/,"여름에는 은어낚기체험․갯벌체험(우럭조개, 쏙, 바지락, 낙지 등)․선상낚시체험, 가을에는 표고버섯수확체험․마늘수확체험, 그리고 겨울에는 다래수확체험․시금치수확체험 등 사계절 농․수산업을 모두 체험할 수 있는 곳입니다. 독일마을, 원예예술촌, 해오름예술촌이 차량으로 5분 거리에 있어 보물섬 남해가 가진 매력을 한껏 맛볼 수 있는 곳이기도 합니다. 또 부대시설인 찜질방, 노래방, 풋살구장, 야외바비큐장, 야외물놀이장, 세미나실을 무료 또는 저렴하게 이용하실 수 있습니다. 꽃내권역에서 가족, 연인과의 아름다운 추억을 만들어 보세요!"
48,해안 자전거 3코스(창선교~단항회센터),경상남도 남해군 삼동면 동부대로1876번길 12,34.83102,128.0010173,관광지,,055-860-3243,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로",N,,,"삼동면 창선교 아래에서 창선면 단항회센터에 이르는 구간으로 1024지방도로 연결되는 도로이다. 어촌체험마을인 신흥해바리마을을 지나며, 낙조와 지족해협 죽방렴을 감상하기에 좋은 구간이다. 라이딩 시 잠시 쉬었다 갈 수 있는 쉼터가 보천마을회관 앞에 조성돼 있으며, 공기주입기도 보천마을회관 앞과 단항회센터에 설치돼 있다."
49,해안 자전거 2코스(보건소~창선교),경상남도 남해군 남해읍 선소로 6,34.8447959,127.8986035,관광지,,055-860-3243,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 나홀로, 단체",N,,,지난 2000년 준공된 해안 자전거 2코스는 남해군 남해읍에 자리 잡고 있다. 지난 2014년 문화체육관광부의 인가를 받아 설립된 보물섬 시네마의 개관으로 해안 자전거 2코스가 도시와의 문화격차를 해소하는복합 문화공간으로 탈바꿈해 군민의 문화향유 기회 확대와 삶의 질 향상에 큰 역할을 할 것으로 기대하고 있다.
50,해안 자전거 1코스(남해대교~남해읍 선소),경상남도 남해군 설천면,34.9248248,127.9140253,관광지,,055-860-3243,"봄, 여름, 가을, 겨울, 자가용/렌트, 연인, 우정女, 우정男, 나홀로, 단체",N,,,"남해군 설천면 노량리에 위치한 남해대교와 남해읍 선소마을에 이르는 구간으로 벚꽃길이 유명하며, 문항·이어 등 어촌체험마을을 통과하는 구간이다. 전체 구간이 군도와 해안도로로 이루어져 있어 차량의 통행량이 미미하고 보행자도 적어 라이딩에 적합한 구간이다. 라이딩 시 잠시 쉬었다 갈 수 있는 쉼터가 남해대교 아래와 문항어촌체험마을에 조성돼 있으며, 공기주입기도 남해대교 아래와 문항어촌체험마을, 진목해안에 설치돼 있다."
51,망운산노을길(제14코스),경상남도 남해군 고현면 갈화리,34.8947153,127.8490654,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",N,,,
52,이순신호국길(제13코스),경상남도 남해군 설천면 노량리,34.9416232,127.8767315,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",N,,,
53,동대만진지리길(제8코스),경상남도 남해군 창선면 동대리,34.8777169,128.0004928,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",N,,,
54,고사리밭길(제7코스),경상남도 남해군 창선면 진동리,34.8452258,128.0510002,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",N,,,
55,말밥굽길(제6코스),경상남도 남해군 삼동면 지족리,34.8220772,127.9987652,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",N,,,
56,화전별곡길(제5코스),경상남도 남해군 미조면 송정리,34.750482,128.0428594,관광지,,,"봄, 여름, 가을, 겨울, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",N,,,
57,섬노래길(제4코스),경상남도 남해군 미조면 송정리,34.750482,128.0428594,관광지,,,"봄, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",N,,,
58,구운몽길(제3코스),경상남도 남해군 상주면 양아리,34.730787,127.9661714,관광지,,,"봄, 여름, 가을, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",N,,,
59,앵강다숲길(제2코스),경상남도 남해군 남면 홍현리,34.7381977,127.9007648,관광지,,,"봄, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",N,,,
60,다랭이지겟길(제1코스),경상남도 남해군 남면 평산리,34.7617601,127.8533386,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",N,,,
61,장평소류지,경상남도 남해군 이동면 남해대로 2449,34.8172661,127.9231553,관광지,,,"봄, 자가용/렌트, 친구, 키즈, 연인, 우정女, 효도",Y,,,
62,설천 벚꽃길,경상남도 남해군 설천면 설천로 695,34.9248879,127.9139814,관광지,,055-860-8601,,Y,,,
63,남해편백자연휴양림,경상남도 남해군 삼동면 금암로 658,34.7547175,127.9964943,관광지,,055-867-2021,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 단체",Y,,https://www.foresttrip.go.kr/indvz/main.dohmpgId=0192,국립자연휴양림관리소에서 운영하고 있는 휴양림으로 한려해상 국립공원 북단에 위치하고 있다. 1960년대에 조림된 편백 및 삼나무들이 울창한 숲을 이루고 있으며 주변 경관이 수려하여 산림욕 휴식공간으로 힐링을 즐길 수 있는 최적의 장소이다.
64,아난티 남해,경상남도 남해군 남면 남서대로1179번길 40-109,34.7767416,127.8521868,관광지,,055-860-0100,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 효도",Y,,https://ananti.kr/ko/namhae,
65,사우스케이프오너스클럽,경상남도 남해군 창선면 흥선로 1545,34.8406234,128.0613191,관광지,,1644-0280,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정男, 효도",Y,,http://www.southcape.co.kr,
66,보물섬 마늘나라,경상남도 남해군 이동면 남해대로 2443,34.8166447,127.9241724,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",Y,,,
67,남해문화센터,경상남도 남해군 남해읍 선소로 12,34.8451138,127.8995432,관광지,,055-860-8621,"봄, 여름, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 단체",Y,,,
68,남해농수산물직판장,경상남도 남해군 설천면 노량로 191,34.9405746,127.8739852,관광지,,,,Y,,http://nhspecial.co.kr/,
69,보광특산품직판장,경상남도 남해군 이동면 남해대로 2208,34.8081285,127.9467503,관광지,,,,Y,,,
70,갯마을직판장,경상남도 남해군 이동면 석평로58번길 4-58,34.8061712,127.9442159,관광지,,055-864-5050,,Y,,,
71,축협직매장 남해,경상남도 남해군 남해읍 화전로78번가길 9,34.8386551,127.8947401,관광지,,055-863-4081,,Y,,,
72,남해바래길 작은미술관,경상남도 남해군 남면 남면로1739번길 46,34.767577,127.8478552,관광지,,055-862-5557,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,,,바래길 1코스 다랭이지겟길의 출발점에 위치해 트래킹을 시작하는 탐방객들이 잠시 머물렀다가는 쉼터로 활용되고 있다.
73,길현미술관캠핑장,경상남도 남해군 이동면 남서대로 198-1,34.7802606,127.9408681,관광지,,055-862-9708,,Y,,,
74,길현미술관,경상남도 남해군 이동면 남서대로 198-1,34.7802606,127.9408681,관광지,,055-862-9708,,Y,,,
75,남해군국민체육센터,경상남도 남해군 남해읍 화전로78번길 26,34.8375482,127.8969064,관광지,,055-860-3560,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,,,
76,남면공설시장,경상남도 남해군 남면 남서대로 785-4,34.7709989,127.8855945,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,,,
77,지족공설시장,경상남도 남해군 삼동면 동부대로1876번길 30-1,34.8306143,128.003007,관광지,,055-860-3191,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,5,,
78,이동공설시장,경상남도 남해군 이동면 무림로63번길 9,34.8008384,127.9538697,관광지,,055-860-3191,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,60,,
79,남해전통시장,경상남도 남해군 남해읍 화전로 110,34.840602,127.8943112,관광지,,055-864-3592,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,77,,
80,(주)자연이야기,경상남도 남해군 남해읍 망운로 1-2,34.8379872,127.8937679,관광지,,0507-1379-0555,,Y,,https://yesnamhae.modoo.at/,
81,남해대교유람선,경상남도 남해군 설천면 노량로183번길 4,34.9409259,127.8736891,관광지,,055-862-9842,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 키즈, 연인, 우정女, 우정男, 효도, 나홀로, 단체",Y,,https://www.namhaecruise.co.kr/,
82,바람흔적미술관,경상남도 남해군 삼동면 금암로 519-4,34.7622625,128.0124427,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 우정男, 나홀로",Y,20,,"평면미술관과 숲속체험미술관으로 운영되며 기부카페와 아트샵, 개인 및 단체미술체험을 이용할 수 있다."
83,남해카약체험센터,경상남도 남해군 남면 남면로1229번길 27,34.7418135,127.8563444,관광지,,055-862-1588,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 단체",Y,110,https://blog.naver.com/leeti2,
84,해오름예술촌,경상남도 남해군 삼동면 동부대로 995,34.788054,128.0492494,관광지,,055-867-0706,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 키즈, 연인, 우정女, 나홀로",Y,,http://www.xn--q20b11o6nhj7d7d155bjyoa.com/,"옛 추억을 담은 전시장과 다양한 분야의 주제전이 열리는 갤러리, 작가들의 작업 공간, 전통문화체험공방, 가족 나들이 장소로 꾸며져 있다."
85,남해월포앵강만해양레저체험마을,경상남도 남해군 남면 석교리 149번지,34.7617474,127.9039045,관광지,,055-862-2622,"봄, 여름, 가을, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 단체",Y,,https://blog.naver.com/nhleisure,
86,두모레저스포츠씨카약,경상남도 남해군 상주면 양아로533번길 18,34.7338486,127.9553266,관광지,,,"봄, 여름, 가을, 겨울, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 효도, 단체",Y,,http://du-mo.co.kr/,
87,미조해양레저체험마을,경상남도 남해군 미조면 남해대로 146,34.7244404,128.0337943,관광지,,055-867-8130,"봄, 여름, 가을, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 단체",Y,60,http://www.mijotown.anyfree.co.kr/,
88,포세이돈마린레저,경상남도 남해군 삼동면 동부대로942번길 3,34.7843218,128.0492581,관광지,,0507-1343-8066,"봄, 여름, 가을, 자가용/렌트, 버스, 친구, 키즈, 연인, 우정女, 우정男, 단체",Y,60,http://xn--q20b82d3wqo6f7xqgfc.com/,
89,남해군요트학교,경상남도 남해군 삼동면 동부대로1030번길 42-26,34.7937409,128.0527825,관광지,,055-867-2977,"봄, 여름, 가을, 겨울, 자가용/렌트, 친구, 연인, 우정女, 우정男, 단체",Y,,https://www.namhae.go.kr/tour/00007/00024/00205.web,요트학교는 천헤의 자연환경을 바탕으로 대한요트협회의 인증을 받은 전문 요트 교육기관이다.
